date,time1,time2,duration,transfer,flight_number1,flight_number2,left_date,country,price
11월 01일,9:15,13:15,6시간 0분,,KE657,,1,bangkok,"최저 647,800 원"
11월 01일,13:15,17:20,6시간 10분,,KE651,,1,bangkok,"최저 809,800 원"
11월 01일,17:20,21:30,6시간 10분,,KE659,,1,bangkok,"최저 707,800 원"
11월 02일,9:15,13:15,6시간 0분,,KE657,,2,bangkok,"최저 895,500 원"
11월 02일,13:15,17:20,6시간 10분,,KE651,,2,bangkok,"최저 895,500 원"
11월 02일,17:20,21:30,6시간 10분,,KE659,,2,bangkok,매진
11월 03일,9:15,13:15,6시간 0분,,KE657,,3,bangkok,"최저 895,500 원"
11월 03일,13:15,17:20,6시간 10분,,KE651,,3,bangkok,"최저 809,800 원"
11월 03일,17:20,21:30,6시간 10분,,KE659,,3,bangkok,"최저 895,500 원"
11월 04일,9:15,13:15,6시간 0분,,KE657,,4,bangkok,"최저 707,800 원"
11월 04일,13:15,17:20,6시간 10분,,KE651,,4,bangkok,"최저 707,800 원"
11월 04일,17:20,21:30,6시간 10분,,KE659,,4,bangkok,"최저 895,500 원"
11월 05일,9:15,13:15,6시간 0분,,KE657,,5,bangkok,"최저 647,800 원"
11월 05일,13:15,17:20,6시간 10분,,KE651,,5,bangkok,"최저 527,800 원"
11월 05일,17:20,21:30,6시간 10분,,KE659,,5,bangkok,"최저 895,500 원"
11월 06일,9:15,13:15,6시간 0분,,KE657,,6,bangkok,"최저 809,800 원"
11월 06일,13:15,17:20,6시간 10분,,KE651,,6,bangkok,"최저 809,800 원"
11월 06일,17:20,21:30,6시간 10분,,KE659,,6,bangkok,"최저 809,800 원"
11월 07일,9:15,13:15,6시간 0분,,KE657,,7,bangkok,"최저 895,500 원"
11월 07일,13:15,17:20,6시간 10분,,KE651,,7,bangkok,"최저 895,500 원"
11월 07일,17:20,21:30,6시간 10분,,KE659,,7,bangkok,"최저 809,800 원"
11월 08일,9:15,13:15,6시간 0분,,KE657,,8,bangkok,"최저 599,800 원"
11월 08일,13:15,17:20,6시간 10분,,KE651,,8,bangkok,"최저 647,800 원"
11월 08일,17:20,21:30,6시간 10분,,KE659,,8,bangkok,"최저 647,800 원"
11월 09일,9:15,13:15,6시간 0분,,KE657,,9,bangkok,"최저 647,800 원"
11월 09일,13:15,17:20,6시간 10분,,KE651,,9,bangkok,"최저 557,800 원"
11월 09일,17:20,21:30,6시간 10분,,KE659,,9,bangkok,"최저 647,800 원"
11월 10일,9:15,13:15,6시간 0분,,KE657,,10,bangkok,"최저 599,800 원"
11월 10일,13:15,17:20,6시간 10분,,KE651,,10,bangkok,"최저 599,800 원"
11월 10일,17:20,21:30,6시간 10분,,KE659,,10,bangkok,"최저 895,500 원"
11월 11일,9:15,13:15,6시간 0분,,KE657,,11,bangkok,"최저 557,800 원"
11월 11일,13:15,17:20,6시간 10분,,KE651,,11,bangkok,"최저 527,800 원"
11월 11일,17:20,21:30,6시간 10분,,KE659,,11,bangkok,"최저 647,800 원"
11월 12일,9:15,13:15,6시간 0분,,KE657,,12,bangkok,"최저 557,800 원"
11월 12일,13:15,17:20,6시간 10분,,KE651,,12,bangkok,"최저 647,800 원"
11월 12일,17:20,21:30,6시간 10분,,KE659,,12,bangkok,"최저 895,500 원"
11월 13일,9:15,13:15,6시간 0분,,KE657,,13,bangkok,"최저 809,800 원"
11월 13일,13:15,17:20,6시간 10분,,KE651,,13,bangkok,"최저 647,800 원"
11월 13일,17:20,21:30,6시간 10분,,KE659,,13,bangkok,"최저 809,800 원"
11월 14일,9:15,13:15,6시간 0분,,KE657,,14,bangkok,"최저 895,500 원"
11월 14일,13:15,17:20,6시간 10분,,KE651,,14,bangkok,"최저 527,800 원"
11월 14일,17:20,21:30,6시간 10분,,KE659,,14,bangkok,"최저 599,800 원"
